cell,cond,bucket,n,dates,mean5,t5,hit,mean10,t10,train_t,test_t,test_mean,base_mean,confirmed
ema20_reclaim/confirmed,atr_pct,low,952,350,-0.2528941374977144,-1.0778557481783553,0.4380252100840336,-0.7000319508655628,-2.4626299135819067,-4.15577669165365,2.5133808361174874,0.5386171496838583,0.1879570326980142,False
ema20_reclaim/confirmed,atr_pct,mid,832,346,0.023140886714177186,0.0028095416017183423,0.4735576923076923,0.014123219482714732,-0.03125854448397837,-1.103778215019968,1.8558950784502342,0.6906841251403876,0.1879570326980142,False
ema20_reclaim/confirmed,price,$2-10,1303,416,0.2017342593896924,1.166799798733427,0.4620107444359171,-0.12899095066578378,0.02777509725161891,0.5159789048230935,1.1178735118726724,0.1421064751201204,0.1879570326980142,False
ema20_reclaim/confirmed,price,>$10,935,350,0.002421753344878621,-0.3732272980658454,0.4823529411764706,-0.5371011882564567,-2.832365622854968,-2.305312892880089,2.0536074781404983,0.7563105624801555,0.1879570326980142,False
ema20_reclaim/confirmed,vs_ema20,above,2563,460,0.1878123928277381,0.7012853027136865,0.4736636753804136,-0.12629751680742565,-0.6676344745212534,-0.7992637717133908,1.4671731930481307,0.4231806724088475,0.1879570326980142,False
ema20_reclaim/confirmed,mkt20,mkt flat,1864,316,0.1216715235653568,-0.11625233789312281,0.47639484978540775,-0.1415785830969353,-1.0629818937065039,-0.8291351052614405,0.8353751675896003,0.28360374556002527,0.1879570326980142,False
ema20_reclaim/forming,vol_ratio,<1x,653,301,0.2543429298031738,1.1598986710978059,0.48085758039816234,0.02547174513941508,-0.08332631037189156,0.366939011589004,1.1780517078108126,0.47721139732909257,0.07806050180615294,False
ema20_reclaim/forming,rsi,45-55,1071,396,0.0831517420570537,1.272269063808308,0.477124183006536,-0.2210073201143048,0.18859095398412426,0.6410863570530603,1.1113169127313112,0.17376533437161346,0.07806050180615294,False
ema20_reclaim/forming,price,$2-10,549,294,0.12305358468310176,0.4101338762189934,0.4553734061930783,-0.34658449775317635,-0.9460515615146116,0.37900253131467576,0.23347065079029172,0.046218243530716935,0.07806050180615294,False
ema20_reclaim/forming,price,>$10,435,252,-0.03989402291203938,-0.6161210266005529,0.48735632183908045,-0.36762454800729133,-1.155090454408325,-1.208684070229039,0.23882412700444347,0.13219737441982143,0.07806050180615294,False
ema20_reclaim/forming,vs_ema20,below,1076,398,0.07806050180615294,1.2596591267901391,0.4758364312267658,-0.23744913373721693,0.016238030005724255,0.6046928216842818,1.1236733391038296,0.17586410603788533,0.07806050180615294,False
ema20_reclaim/forming,mkt20,mkt flat,810,285,0.008229427875307336,0.6367145053120883,0.4765432098765432,-0.22251589394861612,-0.28085491639220855,0.24307192288613305,0.7419231214511066,-0.022710238024382302,0.07806050180615294,False
macd_hist_down/confirmed,vol_ratio,1-2x,1900,437,-0.03279125872640227,0.3424509787897043,0.5157894736842106,0.03295103453107825,-0.5652216390561411,0.7800473017332529,-0.5399328978640839,-0.3310083576268654,-0.022650090087285468,False
macd_hist_down/confirmed,vol_ratio,<1x,1965,448,-0.08176638405255551,-0.8884189088497801,0.5241730279898219,-0.006602945203801444,-0.29334535989450694,-0.367999065950473,-0.9335538065090762,0.0945477248284876,-0.022650090087285468,False
macd_hist_down/confirmed,rsi,30-45,1468,397,0.13121665281367426,1.1443221401842423,0.5299727520435967,0.3833744550261723,1.3108873612249883,1.3273214048151465,0.24704548425857725,-0.18820237643241422,-0.022650090087285468,False
macd_hist_down/confirmed,rsi,45-55,1653,437,-0.1211177053489367,-0.08192148305966473,0.5124016938898972,0.1271417369432151,0.6503378398392353,-0.3985554095130473,0.41173113896746855,-0.13849304316838712,-0.022650090087285468,False
macd_hist_down/confirmed,rsi,55-70,1159,404,-0.21857308641744458,-1.0441583511243597,0.5081967213114754,-0.47707586717767675,-2.1512792717442983,-1.2619474240230255,-0.04790713005796394,0.22425113336880367,-0.022650090087285468,False
macd_hist_down/confirmed,atr_pct,high,1610,423,-0.02279951809442759,-0.24799958973735095,0.5298136645962733,-0.24828240374709754,-2.0451049399867993,-0.9451192476304953,0.9277465378878003,0.32373735535348463,-0.022650090087285468,False
macd_hist_down/confirmed,atr_pct,low,1403,412,0.024003917870893548,-0.1965926368558047,0.5117605131860299,0.2718024968459669,0.4805371812366944,1.340690339362856,-1.5399095305370967,-0.3237146355252598,-0.022650090087285468,False
macd_hist_down/confirmed,atr_pct,mid,1470,427,-0.06701403163410607,-0.6470094202643383,0.5163265306122449,0.28081645659881604,1.3659692542900943,0.6125776243853123,-1.855551144730848,-0.5394037310785741,-0.022650090087285468,False
macd_hist_down/confirmed,price,$2-10,2285,464,-0.2160922243976632,-0.5252641522827967,0.5111597374179431,-0.03173420901858624,0.36092357783907236,-0.5563540576265555,-0.1503744387949162,-0.041518761302030756,-0.022650090087285468,False
